title,genre,overview,rating,poster,year,director,cast
Inception,Sci-Fi,A thief who steals secrets through dream-sharing.,8.8,inception.jpg,2010,Christopher Nolan,Leonardo DiCaprio
Interstellar,Sci-Fi,A team travels through a wormhole in space.,8.6,interstellar.jpg,2014,Christopher Nolan,Matthew McConaughey
Titanic,Romance,A love story aboard the Titanic ship.,7.9,titanic.jpg,1997,James Cameron,Leonardo DiCaprio
The Dark Knight,Action,A superhero fights crime in Gotham.,9.0,darkknight.jpg,2008,Christopher Nolan,Christian Bale
Avatar,Sci-Fi,A marine on an alien planet Pandora.,7.8,avatar.jpg,2009,James Cameron,Sam Worthington
Joker,Drama,A troubled comedian turns villain.,8.4,joker.jpg,2019,Todd Phillips,Joaquin Phoenix
Frozen,Animation,A princess with ice powers.,7.5,frozen.jpg,2013,Chris Buck,Kristen Bell
Avengers,Action,Superheroes unite to save Earth.,8.0,avengers.jpg,2012,Joss Whedon,Robert Downey Jr.
3 Idiots,Comedy,Three friends in engineering college.,8.4,3idiots.jpg,2009,Rajkumar Hirani,Aamir Khan
Bahubali,Action,A warrior discovers his destiny.,8.2,bahubali.jpg,2015,S. S. Rajamouli,Prabhas
Gladiator,Action,A Roman general seeks revenge.,8.5,gladiator.jpg,2000,Ridley Scott,Russell Crowe
The Matrix,Sci-Fi,A hacker discovers reality is simulation.,8.7,matrix.jpg,1999,Wachowski Sisters,Keanu Reeves
The Lion King,Animation,A lion prince reclaims throne.,8.5,lionking.jpg,1994,Roger Allers,Matthew Broderick
Forrest Gump,Drama,A man experiences historic events.,8.8,forrestgump.jpg,1994,Robert Zemeckis,Tom Hanks
John Wick,Action,A retired assassin seeks revenge.,7.4,johnwick.jpg,2014,Chad Stahelski,Keanu Reeves
Harry Potter,Sci-Fi,A young wizard joins magical school.,8.0,harrypotter.jpg,2001,Chris Columbus,Daniel Radcliffe
Jurassic Park,Sci-Fi,Dinosaurs brought back to life.,8.1,jurassicpark.jpg,1993,Steven Spielberg,Sam Neill
Rocky,Sports,A boxer fights for glory.,8.1,rocky.jpg,1976,John G. Avildsen,Sylvester Stallone
The Godfather,Crime,A mafia family rises to power.,9.2,godfather.jpg,1972,Francis Ford Coppola,Al Pacino
Whiplash,Drama,A drummer trains under harsh mentor.,8.5,whiplash.jpg,2014,Damien Chazelle,Miles Teller
